         106992 function calls (103774 primitive calls) in 0.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       22    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      268    0.000    0.000    0.000    0.000 functools.py:65(wraps)
    429/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:92(_float_to_float)
     49/1    0.000    0.000    0.000    0.000 __config__.py:20(<dictcomp>)
      460    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        8    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 sysconfig.py:425(get_makefile_filename)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
      246    0.000    0.000    0.000    0.000 typing.py:1278(__eq__)
       10    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 sysconfig.py:603(get_path)
        1    0.000    0.000    0.000    0.000 sysconfig.py:591(get_paths)
        1    0.000    0.000    0.000    0.000 sysconfig.py:238(_expand_vars)
      526    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
       80    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       82    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      800    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      679    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
        2    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        9    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
        5    0.000    0.000    0.000    0.000 typing.py:1549(__init_subclass__)
