If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
         5220300 function calls (5110457 primitive calls) in 8.625 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53248    0.007    0.000    0.007    0.000 {built-in method builtins.id}
     3634    0.007    0.000    0.018    0.000 {method 'sort' of 'list' objects}
     5584    0.007    0.000    0.015    0.000 {built-in method builtins.max}
      604    0.007    0.000    0.191    0.000 _parser.py:979(parse)
     1479    0.007    0.000    0.017    0.000 typing.py:168(_type_check)
  5336/23    0.007    0.000    8.564    0.372 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    30722    0.007    0.000    0.007    0.000 core.py:1819(name)
     7366    0.007    0.000    0.076    0.000 __init__.py:173(search)
    49613    0.006    0.000    0.007    0.000 {built-in method posix.fspath}
    22560    0.006    0.000    0.006    0.000 {method 'partition' of 'str' objects}
     6468    0.006    0.000    0.012    0.000 <frozen posixpath>:60(isabs)
     5320    0.006    0.000    0.013    0.000 typing.py:1320(__setattr__)
       15    0.006    0.000    0.011    0.001 style.py:60(__new__)
    28458    0.006    0.000    0.006    0.000 {method 'update' of 'set' objects}
4447/2571    0.006    0.000    0.112    0.000 core.py:2018(__call__)
      405    0.006    0.000    0.007    0.000 _array_api.py:690(_make_sphinx_capabilities)
      831    0.006    0.000    0.006    0.000 {built-in method _abc._abc_init}
       18    0.006    0.000    0.006    0.000 {method 'readlines' of '_io._IOBase' objects}
    21866    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     3236    0.005    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1225    0.005    0.000    0.011    0.000 enum.py:367(__setitem__)
     1867    0.005    0.000    0.021    0.000 core.py:1746(__init__)
    19621    0.005    0.000    0.005    0.000 _docscrape.py:153(__getitem__)
     2292    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:198(cb)
      633    0.005    0.000    0.771    0.001 _docscrape.py:140(__init__)
      699    0.005    0.000    0.029    0.000 typing.py:1376(__init__)
     2359    0.005    0.000    0.043    0.000 <frozen importlib._bootstrap>:169(__enter__)
     9249    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:1030(__exit__)
     5285    0.005    0.000    0.026    0.000 {built-in method builtins.any}
     3249    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
    11383    0.005    0.000    0.013    0.000 utils.py:86(sanitize_power)
      604    0.005    0.000    0.305    0.001 _compiler.py:740(compile)
     5980    0.005    0.000    0.008    0.000 typing.py:1266(_is_dunder)
     4265    0.005    0.000    0.060    0.000 <frozen importlib._bootstrap>:392(cached)
     7054    0.005    0.000    0.010    0.000 utils.py:37(sanitize_scale)
    14223    0.005    0.000    0.008    0.000 _parser.py:256(match)
     2160    0.005    0.000    0.007    0.000 _array_api.py:684(__str__)
     1208    0.005    0.000    0.013    0.000 enum.py:1525(__and__)
    10650    0.005    0.000    0.006    0.000 _parser.py:176(append)
   970/47    0.005    0.000    8.146    0.173 {built-in method builtins.__import__}
        9    0.005    0.001    0.020    0.002 docgen.py:51(generate_unit_summary)
     4580    0.005    0.000    0.005    0.000 _docscrape.py:458(<listcomp>)
     3429    0.005    0.000    0.017    0.000 core.py:2434(<listcomp>)
     8126    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     4283    0.005    0.000    0.022    0.000 <frozen posixpath>:394(abspath)
      656    0.005    0.000    0.007    0.000 pathlib.py:56(parse_parts)
     2292    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:71(__init__)
       10    0.005    0.000    0.030    0.003 core.py:1153(_flatten_units_collection)
       92    0.005    0.000    0.016    0.000 pprint.py:228(_pformat_col)
    11553    0.005    0.000    0.006    0.000 _parser.py:164(__len__)
     9249    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:1026(__enter__)
     9146    0.005    0.000    0.011    0.000 core.py:2431(<lambda>)
      398    0.005    0.000    0.036    0.000 _util.py:524(getfullargspec_no_self)
    10432    0.005    0.000    0.005    0.000 utils.py:126(resolve_fractions)
     7264    0.005    0.000    0.006    0.000 inspect.py:3002(<genexpr>)
2038/2035    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      766    0.004    0.000    0.015    0.000 base.py:137(to_string)
    18161    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
        7    0.004    0.001    0.006    0.001 docgen.py:138(<listcomp>)
       80    0.004    0.000    0.069    0.001 traitlets.py:991(setup_class)
    12137    0.004    0.000    0.005    0.000 enum.py:1095(__new__)
     1245    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      117    0.004    0.000    0.018    0.000 artist.py:163(<listcomp>)
     2219    0.004    0.000    0.056    0.000 inspect.py:957(getabsfile)
     2298    0.004    0.000    0.782    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
      117    0.004    0.000    0.049    0.000 codegen.py:23(make_function_with_signature)
      604    0.004    0.000    0.021    0.000 _compiler.py:511(_compile_info)
    11684    0.004    0.000    0.006    0.000 core.py:128(<genexpr>)
       65    0.004    0.000    0.058    0.001 dataclasses.py:884(_process_class)
     1867    0.004    0.000    0.005    0.000 core.py:1839(_inject)
     1716    0.004    0.000    0.006    0.000 inspect.py:735(unwrap)
     3766    0.004    0.000    0.007    0.000 _docscrape.py:49(read)
     2302    0.004    0.000    0.010    0.000 __init__.py:101(find_spec)
     5618    0.004    0.000    0.108    0.000 {built-in method builtins.sorted}
      727    0.004    0.000    0.020    0.000 core.py:145(to_string)
     1562    0.004    0.000    0.006    0.000 inspect.py:167(get_annotations)
      628    0.004    0.000    0.006    0.000 _docscrape.py:499(_str_see_also)
    15145    0.004    0.000    0.004    0.000 {built-in method _imp.acquire_lock}
      670    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
     2628    0.004    0.000    0.010    0.000 {method 'format' of 'str' objects}
    41441    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
      231    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1562(__init__)
     9515    0.004    0.000    0.007    0.000 {built-in method builtins.issubclass}
     2359    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap>:173(__exit__)
     4303    0.004    0.000    0.009    0.000 <frozen posixpath>:386(normpath)
6177/5995    0.004    0.000    0.005    0.000 {method 'update' of 'dict' objects}
     3766    0.004    0.000    0.005    0.000 _docscrape.py:16(strip_blank_lines)
1267/1097    0.004    0.000    0.065    0.000 typing.py:373(inner)
     4303    0.004    0.000    0.004    0.000 {built-in method posix._path_normpath}
     1749    0.004    0.000    0.004    0.000 {built-in method numpy.array}
    15145    0.004    0.000    0.004    0.000 {built-in method _imp.release_lock}
     2058    0.004    0.000    0.186    0.000 <frozen posixpath>:409(realpath)
      112    0.004    0.000    0.027    0.000 enum.py:499(__new__)
     3004    0.004    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      604    0.004    0.000    0.107    0.000 _compiler.py:573(_code)
     7050    0.003    0.000    0.004    0.000 _parser.py:293(tell)
     4598    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
     4580    0.003    0.000    0.008    0.000 _docscrape.py:457(_str_indent)
     2373    0.003    0.000    0.006    0.000 inspect.py:892(getfile)
    18897    0.003    0.000    0.003    0.000 core.py:2384(bases)
     2032    0.003    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      474    0.003    0.000    0.039    0.000 _array_api.py:744(_make_capabilities_note)
       67    0.003    0.000    0.021    0.000 typing.py:2910(__new__)
     2034    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.003    0.002    0.005    0.003 _codata.py:2021(parse_constants_2018toXXXX)
      194    0.003    0.000    0.014    0.000 core.py:99(__new__)
        8    0.003    0.000    0.030    0.004 terminal256.py:224(_setup_styles)
     2299    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:920(find_spec)
      231    0.003    0.000    0.148    0.001 <frozen importlib._bootstrap_external>:1658(_fill_cache)
     2299    0.003    0.000    0.003    0.000 {built-in method _imp.find_frozen}
     1867    0.003    0.000    0.005    0.000 _parser.py:376(_escape)
2797/1957    0.003    0.000    0.006    0.000 column.py:1267(__setattr__)
      897    0.003    0.000    0.006    0.000 utils.py:55(maybe_simple_fraction)
       20    0.003    0.000    0.007    0.000 enum.py:1668(convert_class)
5974/3848    0.003    0.000    0.015    0.000 {built-in method builtins.hash}
    17149    0.003    0.000    0.003    0.000 {method '__contains__' of 'frozenset' objects}
     4395    0.003    0.000    0.003    0.000 _docscrape.py:156(__setitem__)
     2512    0.003    0.000    0.005    0.000 _docscrape.py:491(_str_section)
     1699    0.003    0.000    0.004    0.000 _compiler.py:216(_compile_charset)
     3711    0.003    0.000    0.004    0.000 enum.py:1507(_get_value)
     6123    0.003    0.000    0.003    0.000 {built-in method from_bytes}
     5084    0.003    0.000    0.003    0.000 {method 'rfind' of 'str' objects}
       17    0.003    0.000    0.007    0.000 inspect.py:550(_getmembers)
      163    0.003    0.000    0.004    0.000 textwrap.py:238(_wrap_chunks)
     2305    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:357(__init__)
    15759    0.003    0.000    0.003    0.000 inspect.py:2722(name)
      110    0.003    0.000    0.111    0.001 _distn_infrastructure.py:1874(__init__)
    12540    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
      625    0.003    0.000    0.868    0.001 _docscrape.py:579(__init__)
     3429    0.003    0.000    0.003    0.000 core.py:2430(<listcomp>)
      194    0.003    0.000    0.053    0.000 core.py:363(_handle_special_methods)
     2283    0.003    0.000    0.010    0.000 core.py:2461(is_unity)
    17094    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
     1897    0.003    0.000    0.004    0.000 _docscrape.py:28(__init__)
    21938    0.003    0.000    0.003    0.000 {built-in method _stat.S_ISLNK}
      237    0.003    0.000    0.023    0.000 typing.py:679(Union)
     2386    0.003    0.000    0.003    0.000 core.py:369(<listcomp>)
     3766    0.003    0.000    0.052    0.000 _docscrape.py:85(read_to_next_unindented_line)
4201/4144    0.003    0.000    0.009    0.000 core.py:2236(decompose)
      812    0.003    0.000    0.042    0.000 core.py:304(__mul__)
